S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.30,0.40,2.96,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.28,0.45,2.98,2.50,0.00,0.00,0.00188,0.00266,0.00064,0.00000,0.001294880
0.30,0.36,3.50,2.50,0.00,0.00,0.00549,0.01232,0.00153,0.00000,0.004837140
0.29,0.53,2.43,2.50,0.00,0.00,0.00407,0.00313,0.00017,0.00000,0.001839435
0.30,0.41,3.18,2.50,0.00,0.00,0.00168,0.00557,0.00091,0.00000,0.002037610
0.29,0.50,2.62,2.50,0.00,0.00,0.00326,0.00218,0.00029,0.00000,0.001431250
0.28,0.34,3.22,2.50,0.00,0.00,0.00206,0.00625,0.00097,0.00000,0.002321950
0.30,0.51,2.67,2.50,0.00,0.00,0.00309,0.00200,0.00032,0.00000,0.001351235
0.29,0.41,3.11,2.50,0.00,0.00,0.00160,0.00430,0.00079,0.00000,0.001672873
0.29,0.48,2.74,2.50,0.00,0.00,0.00284,0.00161,0.00038,0.00000,0.001208645
0.29,0.38,3.11,2.50,0.00,0.00,0.00160,0.00430,0.00079,0.00000,0.001672873
0.30,0.48,2.78,2.50,0.00,0.00,0.00272,0.00158,0.00041,0.00000,0.001177258
0.31,0.45,2.68,2.50,0.00,0.00,0.00309,0.00200,0.00032,0.00000,0.001351235
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.30,0.41,3.01,2.50,0.00,0.00,0.00171,0.00318,0.00069,0.00000,0.001393597
0.29,0.46,2.81,2.50,0.00,0.00,0.00260,0.00160,0.00044,0.00000,0.001160188
0.29,0.52,2.71,2.50,0.00,0.00,0.00295,0.00181,0.00035,0.00000,0.001278545
0.30,0.43,2.89,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.42,2.96,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.29,0.46,2.82,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.29,0.44,2.93,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.29,0.46,2.84,2.50,0.00,0.00,0.00247,0.00162,0.00048,0.00000,0.001142760
0.29,0.44,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.42,2.97,2.50,0.00,0.00,0.00188,0.00266,0.00064,0.00000,0.001294880
0.29,0.45,2.86,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.29,0.43,2.94,2.50,0.00,0.00,0.00204,0.00218,0.00060,0.00000,0.001202045
0.29,0.45,2.88,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.29,0.44,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.88,2.50,0.00,0.00,0.00233,0.00165,0.00052,0.00000,0.001125040
0.29,0.44,2.92,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.91,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.89,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.91,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.29,0.45,2.90,2.50,0.00,0.00,0.00219,0.00173,0.00056,0.00000,0.001118025
0.30,0.70,1.50,2.50,0.00,0.00,0.00565,0.00578,0.00008,0.00000,0.002877272
3.80,0.70,1.50,2.50,0.00,0.00,0.03780,0.02932,0.00053,0.00000,0.016913703
0.30,4.20,1.50,2.50,0.00,0.00,0.00449,0.01040,0.00036,0.00000,0.003812735
0.30,0.70,5.00,2.50,0.00,0.00,0.03885,0.07203,0.00721,0.00000,0.029523460
0.00,0.00,0.00,2.50,0.00,0.00,0.55356,1.05530,0.01843,0.00000,0.406821845
0.29,1.57,1.49,2.50,0.00,0.00,0.00742,0.00584,0.00009,0.00000,0.003337985
0.00,0.70,2.32,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
0.00,0.68,1.88,2.50,0.00,0.00,0.00539,0.00534,0.00007,0.00000,0.002698455
0.02,0.48,2.33,2.50,0.00,0.00,0.00447,0.00380,0.00011,0.00000,0.002092697
-0.00,0.48,2.33,2.50,0.00,0.00,0.55355,1.05526,0.01847,0.00000,0.406821668
-0.00,0.59,2.33,2.50,0.00,0.00,0.55356,1.05529,0.01844,0.00000,0.406821848
-0.00,0.70,2.38,2.50,0.00,0.00,0.00455,0.00394,0.00010,0.00000,0.002147805
