S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
1.18,2.79,3.83,0.25,0.00,0.00,0.02729,0.06029,0.00569,0.00000,0.023318845
1.19,2.36,2.64,0.25,0.00,0.00,0.00584,0.00778,0.00100,0.00000,0.003652138
1.21,2.50,1.77,0.25,0.00,0.00,0.01053,0.00292,0.00009,0.00000,0.003384910
1.50,2.17,1.72,0.25,0.00,0.00,0.00359,0.00416,0.00005,0.00000,0.001952240
1.28,1.81,1.64,0.25,0.00,0.00,0.00509,0.00374,0.00006,0.00000,0.002221703
1.49,2.13,1.93,0.25,0.00,0.00,0.00288,0.00313,0.00011,0.00000,0.001531028
1.50,1.83,2.25,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000346367
1.50,1.49,2.52,0.25,0.00,0.00,0.00147,0.00407,0.00070,0.00000,0.001559545
1.32,1.92,2.31,0.25,0.00,0.00,0.00147,0.00119,0.00036,0.00000,0.000757020
1.50,1.62,2.63,0.25,0.00,0.00,0.00327,0.00650,0.00088,0.00000,0.002661428
1.50,2.04,2.24,0.25,0.00,0.00,0.00098,0.00043,0.00033,0.00000,0.000435627
1.49,1.81,2.03,0.25,0.00,0.00,0.00176,0.00235,0.00013,0.00000,0.001060185
1.50,1.81,2.35,0.25,0.00,0.00,0.00066,0.00165,0.00044,0.00000,0.000686120
1.50,1.82,2.19,0.25,0.00,0.00,0.00096,0.00097,0.00026,0.00000,0.000545270
1.53,1.83,2.25,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000346057
1.50,1.82,2.30,0.25,0.00,0.00,0.00055,0.00088,0.00037,0.00000,0.000448095
1.50,1.80,2.24,0.25,0.00,0.00,0.00062,0.00046,0.00031,0.00000,0.000345948
1.50,1.80,2.19,0.25,0.00,0.00,0.00096,0.00097,0.00026,0.00000,0.000545025
1.50,1.80,2.27,0.25,0.00,0.00,0.00056,0.00055,0.00034,0.00000,0.000362793
1.50,1.80,2.23,0.25,0.00,0.00,0.00079,0.00068,0.00028,0.00000,0.000438625
1.49,1.80,2.24,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
1.49,1.80,2.26,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
1.49,1.80,2.24,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
1.49,1.80,2.24,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
1.49,1.80,2.24,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
1.49,1.80,2.24,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
1.49,1.80,2.24,0.25,0.00,0.00,0.00061,0.00046,0.00031,0.00000,0.000345780
0.30,1.10,1.50,0.25,0.00,0.00,0.01731,0.00284,0.00071,0.00000,0.005214328
0.32,1.10,1.50,0.25,0.00,0.00,0.01731,0.00284,0.00071,0.00000,0.005214328
0.30,1.16,1.50,0.25,0.00,0.00,0.01352,0.00275,0.00052,0.00000,0.004198700
0.30,1.10,1.58,0.25,0.00,0.00,0.01722,0.00280,0.00072,0.00000,0.005184473
0.28,1.14,1.55,0.25,0.00,0.00,0.01477,0.00256,0.00060,0.00000,0.004479850
0.29,1.16,1.58,0.25,0.00,0.00,0.01342,0.00258,0.00053,0.00000,0.004134092
0.29,1.19,1.62,0.25,0.00,0.00,0.01049,0.00347,0.00038,0.00000,0.003585845
0.28,1.22,1.54,0.25,0.00,0.00,0.00847,0.00458,0.00024,0.00000,0.003322128
0.27,1.28,1.53,0.25,0.00,0.00,0.00690,0.00489,0.00015,0.00000,0.002985135
0.28,1.28,1.55,0.25,0.00,0.00,0.00687,0.00484,0.00016,0.00000,0.002965090
0.29,1.36,1.55,0.25,0.00,0.00,0.00553,0.00485,0.00009,0.00000,0.002618038
0.26,1.40,1.63,0.25,0.00,0.00,0.00487,0.00465,0.00008,0.00000,0.002402933
