S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
1.43,0.31,2.43,1.65,0.0,0.0,0.024890000000000002,0.0019051482536448666,0.02679514825364487
1.43,2.28,2.43,1.65,0.0,0.0,0.02876,0.0019051482536448666,0.03066514825364487
1.43,2.28,1.01,1.65,0.0,0.0,0.03196,0.0019051482536448666,0.03386514825364487
1.43,2.28,1.01,0.72,0.0,0.0,0.03196,0.0019051482536448666,0.03386514825364487
1.06,2.15,1.23,3.75,0.0,0.0,0.15653,0.0019051482536448666,0.15843514825364488
1.23,2.37,2.66,1.97,0.0,0.0,0.046630000000000005,0.001856817601110895,0.0484868176011109
1.41,1.08,0.44,1.27,0.0,0.0,0.08069,0.0019051482536448666,0.08259514825364486
1.08,1.08,0.44,1.27,0.0,0.0,0.07224,0.0019051482536448666,0.07414514825364486
1.08,1.08,0.73,1.27,0.0,0.0,0.07228,0.0019051482536448666,0.07418514825364486
1.08,1.08,0.73,1.94,0.0,0.0,0.07228,0.0019051482536448666,0.07418514825364486
0.47,1.55,0.45,0.91,0.0,0.0,0.031020000000000002,0.0019051482536448666,0.03292514825364487
1.33,1.45,2.07,1.93,0.0,0.0,0.031049999999999998,0.0019051482536448666,0.032955148253644866
1.33,2.31,2.07,1.93,0.0,0.0,0.030010000000000002,0.0019051482536448666,0.031915148253644866
1.33,2.31,0.21,1.93,0.0,0.0,0.0317,0.0019051482536448666,0.03360514825364486
1.33,2.31,0.21,3.13,0.0,0.0,0.0317,0.0019051482536448666,0.03360514825364486
1.49,1.13,0.01,3.1,0.0,0.0,0.09115000000000001,0.0019051482536448666,0.09305514825364487
0.43,0.44,3.0,3.08,0.0,0.0,0.022420000000000002,0.0019051482536448666,0.02432514825364487
1.48,0.44,3.0,3.08,0.0,0.0,0.02246,0.0019051482536448666,0.02436514825364487
1.48,1.74,3.0,3.08,0.0,0.0,0.021949999999999997,0.0019051482536448666,0.023855148253644865
1.48,1.74,1.11,3.08,0.0,0.0,0.027319999999999997,0.0019051482536448666,0.029225148253644865
1.48,1.74,1.11,0.42,0.0,0.0,0.027319999999999997,0.0019051482536448666,0.029225148253644865
0.02,1.78,1.63,1.34,0.0,0.0,0.026639999999999997,0.0019051482536448666,0.028545148253644865
1.18,1.78,1.63,1.34,0.0,0.0,0.0989,0.0018993387348050464,0.10079933873480505
1.18,0.41,1.63,1.34,0.0,0.0,0.10089999999999999,0.0018993387348050464,0.10279933873480504
1.18,0.41,0.16,1.34,0.0,0.0,0.10047,0.0018993387348050464,0.10236933873480505
1.18,0.41,0.16,3.12,0.0,0.0,0.10047,0.0018993387348050464,0.10236933873480505
0.31,2.35,0.82,1.62,0.0,0.0,0.03406,0.0018993387348050464,0.035959338734805044
0.6,1.01,1.09,0.28,0.0,0.0,0.08506,0.0019051482536448666,0.08696514825364486
0.13,1.52,1.16,2.41,0.0,0.0,0.03164,0.0019051482536448666,0.033545148253644866
0.13,0.01,1.16,2.41,0.0,0.0,0.027899999999999998,0.0019051482536448666,0.029805148253644866
0.13,0.01,0.7,2.41,0.0,0.0,0.02793,0.0019051482536448666,0.029835148253644868
0.13,0.01,0.7,0.37,0.0,0.0,0.02793,0.0019051482536448666,0.029835148253644868
0.28,0.54,1.13,2.86,0.0,0.0,0.027899999999999998,0.0019051482536448666,0.029805148253644866
0.51,1.39,0.0,2.65,0.0,0.0,0.68495,0.0018798266996519848,0.686829826699652
1.17,1.52,1.12,3.33,0.0,0.0,0.10623,0.0019051482536448666,0.10813514825364487
1.27,1.52,1.12,3.33,0.0,0.0,0.03311,0.001839285062355586,0.03494928506235559
1.27,2.29,1.12,3.33,0.0,0.0,0.03381000000000001,0.001856817601110895,0.0356668176011109
1.27,2.29,0.92,3.33,0.0,0.0,0.03381000000000001,0.001856817601110895,0.0356668176011109
1.27,2.29,0.92,1.45,0.0,0.0,0.03381000000000001,0.001856817601110895,0.0356668176011109
0.57,0.62,0.22,2.11,0.0,0.0,0.02791,0.0019051482536448666,0.02981514825364487
0.21,2.28,1.96,3.11,0.0,0.0,0.03083,0.0019051482536448666,0.03273514825364487
1.2,1.65,2.29,3.32,0.0,0.0,0.07258,0.0018649066177207417,0.07444490661772074
1.07,0.43,2.14,2.6,0.0,0.0,0.14887,0.0019051482536448666,0.15077514825364488
1.33,0.43,2.14,2.6,0.0,0.0,0.024839999999999997,0.0019051482536448666,0.026745148253644865
1.33,1.67,2.14,2.6,0.0,0.0,0.025169999999999998,0.0019051482536448666,0.027075148253644866
1.33,1.67,1.16,2.6,0.0,0.0,0.026979999999999997,0.0019051482536448666,0.028885148253644865
1.33,1.67,1.16,3.7,0.0,0.0,0.026979999999999997,0.0019051482536448666,0.028885148253644865
0.04,2.32,1.42,3.98,0.0,0.0,0.03274,0.0019051482536448666,0.03464514825364486
0.5,0.17,1.63,3.58,0.0,0.0,0.02763,0.0019051482536448666,0.029535148253644866
1.0,2.48,0.6,2.29,0.0,0.0,0.16771,0.0019051482536448666,0.16961514825364488
0.03,0.26,2.28,1.38,0.0,0.0,0.02556,0.0019051482536448666,0.027465148253644867
0.03,2.46,2.28,1.38,0.0,0.0,0.03307,0.0019051482536448666,0.03497514825364487
0.03,2.46,1.9,1.38,0.0,0.0,0.034679999999999996,0.0019051482536448666,0.03658514825364486
0.03,2.46,1.9,2.1,0.0,0.0,0.034679999999999996,0.0019051482536448666,0.03658514825364486
0.46,1.59,2.94,3.68,0.0,0.0,0.024720000000000002,0.0019051482536448666,0.02662514825364487
1.4,1.32,2.62,3.71,0.0,0.0,0.04661,0.0018198140120760963,0.04842981401207609
0.57,1.32,2.62,3.71,0.0,0.0,0.04914,0.0018198140120760963,0.050959814012076096
0.57,0.35,2.62,3.71,0.0,0.0,0.024399999999999998,0.0019051482536448666,0.026305148253644866
0.57,0.35,2.59,3.71,0.0,0.0,0.02452,0.0019051482536448666,0.026425148253644868
0.57,0.35,2.59,1.06,0.0,0.0,0.02452,0.0019051482536448666,0.026425148253644868
1.23,2.26,1.77,0.96,0.0,0.0,0.047900000000000005,0.0018649066177207417,0.04976490661772075
1.41,2.36,2.01,1.62,0.0,0.0,0.03221,0.0019051482536448666,0.03411514825364487
0.97,2.36,1.18,3.1,0.0,0.0,0.16022999999999998,0.0019051482536448666,0.16213514825364486
1.38,2.36,1.18,3.1,0.0,0.0,0.03342,0.0019051482536448666,0.03532514825364486
1.38,1.54,1.18,3.1,0.0,0.0,0.03025,0.0019051482536448666,0.032155148253644864
1.38,1.54,2.39,3.1,0.0,0.0,0.027200000000000002,0.0019051482536448666,0.02910514825364487
1.38,1.54,2.39,1.21,0.0,0.0,0.027200000000000002,0.0019051482536448666,0.02910514825364487
0.97,1.39,0.35,1.68,0.0,0.0,0.17459,0.0019051482536448666,0.17649514825364487
1.41,0.48,0.6,3.11,0.0,0.0,0.027620000000000002,0.0019051482536448666,0.02952514825364487
0.21,2.27,1.21,2.71,0.0,0.0,0.03212,0.0019051482536448666,0.03402514825364487
0.34,2.29,0.86,2.58,0.0,0.0,0.032170000000000004,0.0019051482536448666,0.03407514825364487
0.34,2.29,2.47,2.58,0.0,0.0,0.02883,0.0019051482536448666,0.03073514825364487
0.34,2.29,2.47,0.73,0.0,0.0,0.02883,0.0018649066177207417,0.030694906617720744
1.14,1.79,1.73,3.73,0.0,0.0,0.12585000000000002,0.0019051482536448666,0.1277551482536449
0.48,0.2,0.92,1.64,0.0,0.0,0.027909999999999997,0.0019051482536448666,0.029815148253644865
0.43,0.21,2.14,2.33,0.0,0.0,0.026069999999999996,0.0019051482536448666,0.027975148253644864
