S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
1.11,1.29,1.7,0.66,0.0,0.0,665.5016499999999,1.8198140120760962,667.321464012076
0.57,1.96,0.77,3.19,0.0,0.0,698.68171,1.8866951493840523,700.568405149384
0.93,1.62,1.73,2.84,0.0,0.0,989.79978,1.8931933404003516,991.6929733404004
1.35,0.84,0.44,1.4,0.0,0.0,666.36295,1.7340715196043415,668.0970215196043
1.35,1.32,0.81,1.4,0.0,0.0,443.23436,1.8931933404003516,445.1275533404003
1.35,1.32,0.81,2.32,0.0,0.0,443.23436,1.8931933404003516,445.1275533404003
0.09,0.61,1.47,3.58,0.0,0.0,728.33271,1.9051482536448665,730.2378582536448
0.61,1.18,1.45,2.58,0.0,0.0,435.65140999999994,1.9051482536448665,437.5565582536448
0.63,0.69,1.25,3.92,0.0,0.0,516.4412100000001,1.9051482536448665,518.3463582536449
0.64,1.18,1.45,2.58,0.0,0.0,1023.63436,1.9051482536448665,1025.539508253645
0.61,1.47,1.45,2.58,0.0,0.0,469.28381,1.9051482536448665,471.1889582536449
0.61,1.18,1.67,2.58,0.0,0.0,435.65140999999994,1.9051482536448665,437.5565582536448
0.61,1.18,1.67,0.91,0.0,0.0,435.65140999999994,1.9051482536448665,437.5565582536448
1.47,1.12,1.87,2.79,0.0,0.0,679.4751899999999,1.9051482536448665,681.3803382536447
0.8,2.02,2.38,2.28,0.0,0.0,703.15181,1.9051482536448665,705.0569582536448
1.38,1.18,1.67,0.91,0.0,0.0,750.66421,1.9051482536448665,752.5693582536449
0.61,0.69,1.67,0.91,0.0,0.0,662.74751,1.9051482536448665,664.6526582536449
0.61,1.18,2.8,0.91,0.0,0.0,435.65140999999994,1.9051482536448665,437.5565582536448
0.61,1.18,2.8,0.83,0.0,0.0,435.65140999999994,1.9051482536448665,437.5565582536448
0.17,0.05,1.62,1.26,0.0,0.0,710.06834,1.8649066177207416,711.9332466177208
0.24,0.6,0.43,0.52,0.0,0.0,524.7588699999999,1.9051482536448665,526.6640182536447
