rs,rp,rd,rf,r_core_flag,rcore,DeltaE,DeltaEig,hardness,score
0.11465,1.73259,2.23498,0.00000,1.00000,2.77546,0.00417,0.00604,0.00000,0.01020912
0.60740,1.89825,1.30521,0.00000,1.00000,2.94737,0.00427,0.00591,0.00142,0.01160446
1.68126,1.17618,3.35310,0.00000,1.00000,1.93416,0.00610,0.01109,0.02236,0.03955500
2.25323,1.35965,2.32233,0.00000,1.00000,1.86593,0.03060,0.04134,0.02236,0.09430335
0.55026,2.77709,0.26369,0.00000,1.00000,2.27676,0.00326,0.00710,0.02236,0.03272131
0.07191,1.89825,1.30521,0.00000,1.00000,2.94737,0.00427,0.00591,0.00142,0.01160446
0.07191,1.96973,1.30521,0.00000,1.00000,2.94737,0.00417,0.00591,0.00142,0.01150282
0.07191,1.96973,2.95595,0.00000,1.00000,2.94737,0.00481,0.00620,0.00000,0.01101072
0.07191,1.96973,2.95595,0.00000,1.00000,0.95396,0.00463,0.00826,0.00101,0.01389867
2.02471,1.27572,1.56838,0.00000,1.00000,1.49506,0.01515,0.02416,0.02260,0.06191656
2.16983,2.57795,2.44408,0.00000,1.00000,2.37921,0.02394,0.03177,0.00000,0.05570596
2.25725,2.31053,3.42490,0.00000,1.00000,1.02616,0.03585,0.04160,0.00010,0.07755288
0.23156,1.96973,2.95595,0.00000,1.00000,2.94737,0.00481,0.00620,0.00000,0.01101072
0.23156,0.08349,2.95595,0.00000,1.00000,2.94737,0.00486,0.00620,0.00000,0.01106052
0.23156,0.08349,0.00667,0.00000,1.00000,2.94737,0.00423,0.00590,0.02236,0.03249363
0.23156,0.08349,2.95595,0.00000,1.00000,2.23873,0.00470,0.00669,0.00000,0.01138856
0.59454,1.16685,1.42630,0.00000,1.00000,1.44506,0.00184,0.00998,0.02483,0.03665447
1.93705,2.57436,1.46090,0.00000,1.00000,1.61012,0.01184,0.01792,0.00082,0.03057744
2.19331,0.99107,3.46353,0.00000,1.00000,0.32226,0.02658,0.04255,0.04488,0.11400381
0.16153,1.50062,2.83745,0.00000,1.00000,2.31094,0.00409,0.00654,0.00047,0.01109536
0.16153,0.21284,2.83745,0.00000,1.00000,2.31094,0.00450,0.00663,0.00000,0.01112888
0.16153,0.21284,2.87142,0.00000,1.00000,2.31094,0.00460,0.00661,0.00000,0.01121402
0.16153,0.21284,2.87142,0.00000,1.00000,2.68867,0.00471,0.00614,0.00000,0.01084526
1.01660,0.49817,1.66660,0.00000,1.00000,2.63219,0.02397,0.04581,0.06709,0.13686249
0.56886,2.19012,0.12281,0.00000,1.00000,0.46639,0.00386,0.00842,0.02263,0.03491051
1.79100,0.56457,1.09347,0.00000,1.00000,0.21524,0.00884,0.01264,0.06709,0.08856261
0.23697,1.28347,1.88795,0.00000,1.00000,0.18030,0.00244,0.00910,0.06709,0.07862325
1.32268,0.21284,2.87142,0.00000,1.00000,2.68867,0.00562,0.00733,0.00430,0.01725058
0.16153,1.87971,2.87142,0.00000,1.00000,2.68867,0.00480,0.00613,0.00000,0.01092868
0.16153,1.87971,0.81980,0.00000,1.00000,2.68867,0.00432,0.00619,0.02236,0.03286863
0.16153,1.87971,2.87142,0.00000,1.00000,1.75509,0.00427,0.00782,0.00000,0.01208688
1.61226,1.13033,0.25517,0.00000,1.00000,0.63885,0.00275,0.01112,0.06709,0.08095131
0.00190,2.74111,0.05860,0.00000,1.00000,0.76016,0.00330,0.00842,0.02252,0.03423138
2.09903,2.27529,2.89970,0.00000,1.00000,0.95301,0.02157,0.02754,0.00027,0.04937806
1.36230,1.87971,2.87142,0.00000,1.00000,1.75509,0.00499,0.00865,0.02236,0.03600403
0.16153,1.92046,2.87142,0.00000,1.00000,1.75509,0.00427,0.00780,0.00000,0.01207266
0.16153,1.92046,0.35720,0.00000,1.00000,1.75509,0.00356,0.00790,0.02236,0.03382193
0.16153,1.92046,2.87142,0.00000,1.00000,1.24118,0.00438,0.00827,0.00024,0.01289333
