S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
0.24,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.24,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.60,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000962442
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.23,0.59,3.50,2.50,0.00,0.00,0.00118,0.00263,0.00004,0.00000,0.000961835
0.30,0.70,1.50,2.50,0.00,0.00,0.00086,0.00362,0.00000,0.00000,0.001121110
3.80,0.70,1.50,2.50,0.00,0.00,0.04105,0.04958,0.00002,0.00000,0.022662010
0.30,4.20,1.50,2.50,0.00,0.00,0.30964,0.51808,0.00013,0.00000,0.206962970
0.30,0.70,5.00,2.50,0.00,0.00,0.00295,0.00477,0.00019,0.00000,0.001979622
-0.00,0.00,0.00,2.50,0.00,0.00,0.06096,0.11918,0.00220,0.00000,0.045586980
0.22,1.57,1.50,2.50,0.00,0.00,0.00358,0.01329,0.00001,0.00000,0.004221235
0.72,0.74,1.40,2.50,0.00,0.00,0.00164,0.00442,0.00000,0.00000,0.001516255
0.49,0.62,2.35,2.50,0.00,0.00,0.03007,0.02271,0.00000,0.00000,0.013194367
0.18,0.58,1.09,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001066397
0.16,0.37,1.15,2.50,0.00,0.00,0.00109,0.00495,0.00000,0.00000,0.001511330
0.08,0.60,1.12,2.50,0.00,0.00,0.00072,0.00355,0.00000,0.00000,0.001066212
0.10,0.80,1.04,2.50,0.00,0.00,0.00119,0.00383,0.00000,0.00000,0.001254795
0.07,0.49,1.14,2.50,0.00,0.00,0.00079,0.00378,0.00000,0.00000,0.001143090
0.07,0.59,1.07,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001065605
0.08,0.70,1.05,2.50,0.00,0.00,0.00086,0.00362,0.00000,0.00000,0.001121570
0.06,0.54,1.07,2.50,0.00,0.00,0.00074,0.00361,0.00000,0.00000,0.001087282
0.04,0.60,1.07,2.50,0.00,0.00,0.00072,0.00355,0.00000,0.00000,0.001066215
0.08,0.65,1.06,2.50,0.00,0.00,0.00077,0.00354,0.00000,0.00000,0.001079470
0.07,0.62,1.06,2.50,0.00,0.00,0.00074,0.00354,0.00000,0.00000,0.001069707
0.07,0.58,1.07,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001066400
0.06,0.59,1.06,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001065607
0.07,0.60,1.06,2.50,0.00,0.00,0.00072,0.00355,0.00000,0.00000,0.001066217
0.06,0.60,1.07,2.50,0.00,0.00,0.00072,0.00355,0.00000,0.00000,0.001066215
0.07,0.59,1.07,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001065605
0.07,0.59,1.07,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001065605
0.07,0.59,1.07,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001065605
0.07,0.59,1.07,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001065605
0.07,0.59,1.07,2.50,0.00,0.00,0.00071,0.00355,0.00000,0.00000,0.001065605
0.30,1.10,1.50,2.50,0.00,0.00,0.00215,0.00529,0.00000,0.00000,0.001862550
0.30,1.16,1.50,2.50,0.00,0.00,0.00211,0.00572,0.00000,0.00000,0.001959020
0.30,1.10,1.58,2.50,0.00,0.00,0.00216,0.00529,0.00000,0.00000,0.001862300
0.28,1.14,1.55,2.50,0.00,0.00,0.00211,0.00560,0.00000,0.00000,0.001928192
0.29,1.07,1.58,2.50,0.00,0.00,0.00213,0.00510,0.00000,0.00000,0.001808155
0.29,1.03,1.62,2.50,0.00,0.00,0.00206,0.00485,0.00000,0.00000,0.001728952
0.30,1.01,1.58,2.50,0.00,0.00,0.00200,0.00471,0.00000,0.00000,0.001677465
0.29,0.99,1.69,2.50,0.00,0.00,0.00193,0.00457,0.00000,0.00000,0.001625980
0.29,0.94,1.78,2.50,0.00,0.00,0.00176,0.00434,0.00000,0.00000,0.001526790
0.29,0.89,1.75,2.50,0.00,0.00,0.00159,0.00415,0.00000,0.00000,0.001435950
0.28,0.78,1.84,2.50,0.00,0.00,0.00112,0.00376,0.00000,0.00000,0.001219847
0.30,0.80,1.85,2.50,0.00,0.00,0.00120,0.00381,0.00000,0.00000,0.001252358
0.27,0.67,2.06,2.50,0.00,0.00,0.00082,0.00353,0.00000,0.00000,0.001086103
0.26,0.49,2.31,2.50,0.00,0.00,0.00084,0.00369,0.00000,0.00000,0.001132112
0.28,0.56,2.05,2.50,0.00,0.00,0.00075,0.00352,0.00000,0.00000,0.001067593
0.27,0.37,2.19,2.50,0.00,0.00,0.00112,0.00489,0.00000,0.00000,0.001503265
0.26,0.54,2.13,2.50,0.00,0.00,0.00077,0.00355,0.00000,0.00000,0.001080455
0.26,0.39,2.32,2.50,0.00,0.00,0.00106,0.00460,0.00000,0.00000,0.001417995
0.27,0.68,1.96,2.50,0.00,0.00,0.00083,0.00355,0.00000,0.00000,0.001094390
0.26,0.49,2.20,2.50,0.00,0.00,0.00082,0.00372,0.00000,0.00000,0.001135080
0.27,0.64,2.02,2.50,0.00,0.00,0.00078,0.00351,0.00000,0.00000,0.001071830
0.26,0.49,2.07,2.50,0.00,0.00,0.00081,0.00374,0.00000,0.00000,0.001137710
0.27,0.62,2.07,2.50,0.00,0.00,0.00076,0.00350,0.00000,0.00000,0.001064342
0.29,0.67,1.97,2.50,0.00,0.00,0.00081,0.00354,0.00000,0.00000,0.001087647
0.27,0.57,2.09,2.50,0.00,0.00,0.00075,0.00351,0.00000,0.00000,0.001063955
0.27,0.53,2.11,2.50,0.00,0.00,0.00078,0.00359,0.00000,0.00000,0.001091622
0.27,0.61,2.04,2.50,0.00,0.00,0.00075,0.00350,0.00000,0.00000,0.001063280
0.26,0.65,2.08,2.50,0.00,0.00,0.00080,0.00350,0.00000,0.00000,0.001073657
0.27,0.58,2.06,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001061032
0.27,0.55,2.06,2.50,0.00,0.00,0.00076,0.00355,0.00000,0.00000,0.001076930
0.27,0.60,2.06,2.50,0.00,0.00,0.00074,0.00350,0.00000,0.00000,0.001060850
0.28,0.62,2.03,2.50,0.00,0.00,0.00076,0.00350,0.00000,0.00000,0.001064755
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.57,2.08,2.50,0.00,0.00,0.00075,0.00351,0.00000,0.00000,0.001063955
0.27,0.60,2.05,2.50,0.00,0.00,0.00074,0.00350,0.00000,0.00000,0.001060850
0.27,0.61,2.07,2.50,0.00,0.00,0.00075,0.00350,0.00000,0.00000,0.001062865
0.27,0.59,2.06,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.59,2.08,2.50,0.00,0.00,0.00074,0.00350,0.00000,0.00000,0.001059792
0.27,0.58,2.09,2.50,0.00,0.00,0.00074,0.00350,0.00000,0.00000,0.001060585
0.27,0.57,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001064397
0.27,0.60,2.07,2.50,0.00,0.00,0.00074,0.00350,0.00000,0.00000,0.001060850
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.58,2.08,2.50,0.00,0.00,0.00074,0.00350,0.00000,0.00000,0.001060585
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
0.27,0.59,2.07,2.50,0.00,0.00,0.00074,0.00351,0.00000,0.00000,0.001060240
