S,P,D,F,rcore_flag,rcore,DeltaE,qmax,Score
0.73,2.28,1.17,1.03,0.0,0.0,84.07894,1.9051482536448665,85.98408825364487
0.73,0.5,1.28,1.03,0.0,0.0,82.51054,1.9051482536448665,84.41568825364487
0.73,0.5,1.28,3.52,0.0,0.0,82.51054,1.9051482536448665,84.41568825364487
0.71,0.15,1.58,3.16,0.0,0.0,141.07806,1.9051482536448665,142.98320825364485
0.92,2.43,0.03,2.27,0.0,0.0,366.37835,1.9051482536448665,368.2834982536449
1.49,0.7,0.01,1.38,0.0,0.0,99.29832000000002,1.9051482536448665,101.20346825364489
0.06,0.5,1.28,3.52,0.0,0.0,291.77305,1.9051482536448665,293.6781982536449
0.73,0.59,1.28,3.52,0.0,0.0,82.51118,1.6709670742068736,84.18214707420687
0.73,0.59,0.41,3.52,0.0,0.0,82.51118,1.8725700114960693,84.38375001149606
0.73,0.59,0.41,0.77,0.0,0.0,82.51118,1.8931933404003516,84.40437334040035
0.68,1.34,2.87,3.33,0.0,0.0,373.44616999999994,1.9051482536448665,375.3513182536448
1.19,1.07,1.69,2.34,0.0,0.0,489.45348,1.9051482536448665,491.3586282536449
0.59,0.16,0.44,0.69,0.0,0.0,85.68267,1.9051482536448665,87.58781825364487
0.61,1.29,1.88,0.32,0.0,0.0,118.512,1.9051482536448665,120.41714825364487
0.08,0.59,0.41,0.77,0.0,0.0,82.51689,1.9051482536448665,84.42203825364487
0.08,0.32,0.41,0.77,0.0,0.0,245.53491,1.9051482536448665,247.44005825364485
0.08,0.59,0.71,0.77,0.0,0.0,82.51689,1.8866951493840523,84.40358514938406
0.08,0.59,0.71,2.88,0.0,0.0,82.51689,1.8866951493840523,84.40358514938406
0.56,2.06,1.79,2.93,0.0,0.0,85.55124,1.9051482536448665,87.45638825364487
0.04,1.16,1.16,1.35,0.0,0.0,377.19770000000005,1.9051482536448665,379.10284825364494
1.23,0.85,1.36,1.58,0.0,0.0,303.07316000000003,1.8482836399575129,304.92144363995754
1.26,1.15,2.89,1.48,0.0,0.0,86.03353,1.9051482536448665,87.93867825364487
0.08,1.37,0.71,2.88,0.0,0.0,184.46601,1.9051482536448665,186.37115825364486
0.08,0.59,0.12,2.88,0.0,0.0,82.51689,1.9051482536448665,84.42203825364487
0.08,0.59,0.12,1.41,0.0,0.0,82.51689,1.9051482536448665,84.42203825364487
1.11,1.23,0.29,3.41,0.0,0.0,85.57938999999999,1.9051482536448665,87.48453825364486
0.12,1.94,2.57,3.96,0.0,0.0,316.17568,1.5325872861719194,317.7082672861719
0.22,2.18,1.07,1.27,0.0,0.0,474.19906,1.8198140120760962,476.0188740120761
0.28,1.68,1.84,0.26,0.0,0.0,85.3773,1.8649066177207416,87.24220661772074
1.14,0.59,0.12,1.41,0.0,0.0,264.59577,1.9051482536448665,266.5009182536449
0.08,2.19,0.12,1.41,0.0,0.0,249.33906,1.9051482536448665,251.24420825364484
0.08,0.59,0.71,1.41,0.0,0.0,82.51689,1.8866951493840523,84.40358514938406
0.08,0.59,0.71,3.39,0.0,0.0,82.51689,1.8866951493840523,84.40358514938406
0.36,0.88,2.29,1.94,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.84,0.53,0.86,3.7,0.0,0.0,86.06886,1.9051482536448665,87.97400825364487
1.21,0.29,1.18,1.94,0.0,0.0,487.73411,1.9051482536448665,489.63925825364487
1.26,2.16,1.91,1.62,0.0,0.0,383.68717999999996,1.8392850623555859,385.52646506235556
1.49,0.88,2.29,1.94,0.0,0.0,83.74361999999999,1.8931933404003516,85.63681334040035
0.36,1.29,2.29,1.94,0.0,0.0,271.08286,1.9051482536448665,272.98800825364486
0.36,0.88,2.03,1.94,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.36,0.88,2.03,0.44,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
1.38,1.84,0.49,0.5,0.0,0.0,234.74117,1.9051482536448665,236.64631825364486
0.04,0.73,1.07,0.42,0.0,0.0,380.32679,1.7193275010198334,382.04611750101986
1.22,1.11,1.03,2.25,0.0,0.0,95.62442000000001,1.9051482536448665,97.52956825364488
0.8,0.78,2.9,0.4,0.0,0.0,85.64536,1.9051482536448665,87.55050825364486
1.35,0.88,2.03,0.44,0.0,0.0,86.99304000000001,1.8798266996519848,88.872866699652
0.36,0.81,2.03,0.44,0.0,0.0,95.22748000000001,1.9051482536448665,97.13262825364488
0.36,0.88,2.81,0.44,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.36,0.88,2.81,2.87,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.13,1.98,2.67,2.39,0.0,0.0,264.17844,1.5963735554792424,265.7748135554793
0.79,0.88,2.81,2.87,0.0,0.0,249.40322999999998,1.4371887851417124,250.84041878514168
0.36,0.88,2.81,2.87,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.36,0.88,0.74,2.87,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.36,0.88,0.74,2.13,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.88,1.03,0.83,0.48,0.0,0.0,86.69581,1.9051482536448665,88.60095825364486
1.27,1.17,1.9,3.7,0.0,0.0,293.05481,1.9051482536448665,294.95995825364486
0.16,0.42,2.99,2.55,0.0,0.0,86.03695,1.9051482536448665,87.94209825364487
0.65,0.88,0.74,2.13,0.0,0.0,257.7509,1.9051482536448665,259.6560482536449
0.36,0.06,0.74,2.13,0.0,0.0,429.3538,1.9051482536448665,431.25894825364486
0.36,0.88,2.82,2.13,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.36,0.88,2.82,2.69,0.0,0.0,82.51653,1.9051482536448665,84.42167825364487
0.35,1.11,2.8,3.79,0.0,0.0,82.52143,1.9051482536448665,84.42657825364486
0.3,2.4,1.61,2.23,0.0,0.0,160.65822,1.9051482536448665,162.56336825364485
0.75,0.13,2.67,1.8,0.0,0.0,82.51795000000001,1.9051482536448665,84.42309825364488
1.31,0.64,0.75,3.47,0.0,0.0,82.50148,1.9051482536448665,84.40662825364487
0.62,0.64,0.75,3.47,0.0,0.0,305.18966,1.9051482536448665,307.0948082536449
1.31,0.77,0.75,3.47,0.0,0.0,132.87516,1.8866951493840523,134.76185514938405
1.31,0.64,1.68,3.47,0.0,0.0,82.50148,1.9051482536448665,84.40662825364487
