S,P,D,F,r_core_flag,rcore,Sscore,Pscore,Dscore,Fscore,Score
1.50,0.00,2.49,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.51,0.00,2.49,0.25,0.00,0.00,1.04433,0.33203,0.00001,0.00000,0.344091633
1.49,0.00,2.49,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,0.01,2.49,0.25,0.00,0.00,0.84182,0.32886,0.00000,0.00000,0.292669705
1.50,0.00,2.48,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,0.00,2.49,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,0.00,2.49,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,0.00,2.48,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,-0.00,2.49,0.25,0.00,0.00,0.51240,0.32483,0.00000,0.00000,0.209306390
1.50,0.00,2.49,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,0.00,2.49,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
1.50,0.00,2.49,0.25,0.00,0.00,0.51241,0.32479,0.00001,0.00000,0.209302698
0.10,0.40,1.50,0.25,0.00,0.00,70.00000,3.03552,0.00000,0.00000,18.258879505
0.11,0.40,1.50,0.25,0.00,0.00,70.00000,3.03552,0.00000,0.00000,18.258879505
0.10,0.42,1.50,0.25,0.00,0.00,1.44743,1.12605,0.00000,0.00000,0.643369987
0.10,0.40,1.58,0.25,0.00,0.00,70.00000,3.03552,0.00000,0.00000,18.258878905
0.10,0.41,1.55,0.25,0.00,0.00,6.38805,70.00000,0.00000,0.00000,19.097011837
0.10,0.40,1.51,0.25,0.00,0.00,70.00000,3.03552,0.00000,0.00000,18.258879375
0.10,0.42,1.56,0.25,0.00,0.00,1.44743,1.12605,0.00000,0.00000,0.643369770
0.10,0.42,1.59,0.25,0.00,0.00,1.44743,1.12605,0.00000,0.00000,0.643369593
0.10,0.43,1.60,0.25,0.00,0.00,11.13052,20.73472,0.00000,0.00000,7.966310047
0.10,0.45,1.55,0.25,0.00,0.00,0.26466,0.18956,0.00000,0.00000,0.113555280
0.10,0.47,1.53,0.25,0.00,0.00,2.09346,70.00000,0.00000,0.00000,18.023364253
0.10,0.43,1.49,0.25,0.00,0.00,11.13052,20.73473,0.00000,0.00000,7.966310447
0.10,0.43,1.57,0.25,0.00,0.00,11.13052,20.73472,0.00000,0.00000,7.966310145
0.10,0.43,1.57,0.25,0.00,0.00,11.13052,20.73472,0.00000,0.00000,7.966310145
0.10,0.43,1.52,0.25,0.00,0.00,11.13052,20.73473,0.00000,0.00000,7.966310382
0.10,0.44,1.57,0.25,0.00,0.00,1.25178,0.72543,0.00000,0.00000,0.494301593
0.10,0.44,1.60,0.25,0.00,0.00,1.25178,0.72543,0.00000,0.00000,0.494301500
0.10,0.45,1.58,0.25,0.00,0.00,0.26466,0.18956,0.00000,0.00000,0.113555195
0.10,0.46,1.58,0.25,0.00,0.00,1.50199,1.21052,0.00000,0.00000,0.678126720
0.10,0.46,1.58,0.25,0.00,0.00,1.50199,1.21052,0.00000,0.00000,0.678126720
0.10,0.44,1.57,0.25,0.00,0.00,1.25178,0.72543,0.00000,0.00000,0.494301593
0.10,0.45,1.56,0.25,0.00,0.00,0.26466,0.18956,0.00000,0.00000,0.113555280
0.10,0.45,1.59,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113555100
0.10,0.44,1.58,0.25,0.00,0.00,1.25178,0.72543,0.00000,0.00000,0.494301593
0.10,0.45,1.58,0.25,0.00,0.00,0.26466,0.18956,0.00000,0.00000,0.113555195
0.10,0.45,1.60,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113555100
0.10,0.45,1.60,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113555100
0.10,0.45,1.62,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554998
0.10,0.45,1.64,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554885
0.10,0.45,1.62,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554998
0.10,0.44,1.63,0.25,0.00,0.00,1.25178,0.72543,0.00000,0.00000,0.494301283
0.10,0.45,1.61,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554998
0.10,0.45,1.65,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554763
0.10,0.45,1.68,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554625
0.10,0.45,1.68,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554625
0.10,0.45,1.71,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113554320
0.10,0.45,1.76,0.25,0.00,0.00,0.26467,0.18955,0.00000,0.00000,0.113553958
0.10,0.45,1.78,0.25,0.00,0.00,0.26467,0.18954,0.00000,0.00000,0.113553765
0.10,0.46,1.85,0.25,0.00,0.00,1.50200,1.21050,0.00000,0.00000,0.678124635
0.10,0.45,1.80,0.25,0.00,0.00,0.26467,0.18954,0.00000,0.00000,0.113553563
0.10,0.45,1.86,0.25,0.00,0.00,0.26467,0.18954,0.00000,0.00000,0.113552840
0.10,0.45,1.92,0.25,0.00,0.00,0.26468,0.18953,0.00000,0.00000,0.113552258
0.11,0.45,2.05,0.25,0.00,0.00,0.26469,0.18951,0.00000,0.00000,0.113550328
0.11,0.46,2.03,0.25,0.00,0.00,1.50201,1.21048,0.00000,0.00000,0.678121855
0.10,0.45,1.83,0.25,0.00,0.00,0.26467,0.18954,0.00000,0.00000,0.113553343
0.10,0.45,2.05,0.25,0.00,0.00,0.26469,0.18951,0.00000,0.00000,0.113550328
0.11,0.45,2.14,0.25,0.00,0.00,0.26470,0.18950,0.00000,0.00000,0.113548178
0.11,0.45,2.29,0.25,0.00,0.00,0.26471,0.18946,0.00000,0.00000,0.113544490
0.11,0.45,2.39,0.25,0.00,0.00,0.26473,0.18945,0.00001,0.00000,0.113546385
0.11,0.45,2.44,0.25,0.00,0.00,0.26473,0.18945,0.00001,0.00000,0.113547783
0.11,0.45,2.50,0.25,0.00,0.00,0.26475,0.18945,0.00001,0.00000,0.113550858
0.11,0.45,2.21,0.25,0.00,0.00,0.26470,0.18948,0.00000,0.00000,0.113546853
0.11,0.45,2.16,0.25,0.00,0.00,0.26470,0.18950,0.00000,0.00000,0.113548178
0.11,0.45,2.37,0.25,0.00,0.00,0.26472,0.18945,0.00000,0.00000,0.113545070
0.11,0.45,2.50,0.25,0.00,0.00,0.26475,0.18945,0.00001,0.00000,0.113550858
0.11,0.45,2.28,0.25,0.00,0.00,0.26471,0.18946,0.00000,0.00000,0.113544490
